id,url,address,price,area,time1 (transit),time1 (drive), dist1,time2 (transit),time2 (drive), dist2
191234402,https://www.finn.no/realestate/homes/ad.html?finnkode=191234402,Lilloveien 136  1925 Blaker,3.58,137.00,01:13:57,00:41:08,47.23,01:01:37,00:48:53,52.21
175101784,https://www.finn.no/realestate/homes/ad.html?finnkode=175101784,Lunnerlinna 44B  2730 Lunner,2.13,132.00,01:37:55,00:55:34,58.36,01:22:07,01:02:20,60.54
191097214,https://www.finn.no/realestate/homes/ad.html?finnkode=191097214,Markaveien 18  3360 Geithus,3.37,215.00,02:16:27,01:17:16,90.26,02:05:31,01:16:30,83.22
191390615,https://www.finn.no/realestate/homes/ad.html?finnkode=191390615,Vestre Sponeveien 76  3340 Åmot,3.07,124.00,02:14:53,01:13:16,85.57,02:03:57,01:12:29,78.53
191404633,https://www.finn.no/realestate/homes/ad.html?finnkode=191404633,Bergesvingen 21  2033 Åsgreina,2.92,106.00,01:15:24,00:32:41,37.43,01:10:41,00:40:26,42.41
191307425,https://www.finn.no/realestate/homes/ad.html?finnkode=191307425,Oppdalslinna 427  2740 Roa,1.85,333.00,00:00:00,00:57:29,60.36,00:00:00,01:04:14,62.54
191172814,https://www.finn.no/realestate/homes/ad.html?finnkode=191172814,Ulvengutua 81  2720 Grindvoll,2.05,166.00,00:00:00,01:01:58,63.60,00:00:00,01:08:43,65.78
191253861,https://www.finn.no/realestate/homes/ad.html?finnkode=191253861,Østli 7C  2054 Mogreina,2.87,123.00,01:39:39,00:37:31,50.61,01:21:09,00:45:16,55.59
191120442,https://www.finn.no/realestate/homes/ad.html?finnkode=191120442,Ileveien 11B  1591 Sperrebotn,3.48,99.00,01:36:57,00:50:35,66.29,01:22:22,00:52:14,60.94
191148403,https://www.finn.no/realestate/homes/ad.html?finnkode=191148403,Frosterudveien 3  1832 Askim,2.77,123.00,01:24:11,00:44:14,56.07,01:12:00,00:45:53,50.73
191137021,https://www.finn.no/realestate/homes/ad.html?finnkode=191137021,Kastanjeveien 124  3026 Drammen,3.48,110.00,01:22:11,00:47:11,54.74,01:11:15,00:46:25,47.70
191114986,https://www.finn.no/realestate/homes/ad.html?finnkode=191114986,Granstadveien 5 og 7  3370 Vikersund,3.20,135.00,02:05:30,01:17:44,90.82,01:52:34,01:16:57,83.78
190306168,https://www.finn.no/realestate/homes/ad.html?finnkode=190306168,Olumslinna 391  3520 Jevnaker,2.76,151.00,02:11:46,01:09:00,71.94,02:00:35,01:11:00,69.43
191044176,https://www.finn.no/realestate/homes/ad.html?finnkode=191044176,Slittungveien 4  1859 Slitu,3.25,204.00,01:42:11,00:51:23,65.10,01:30:00,00:53:02,59.75
191018891,https://www.finn.no/realestate/homes/ad.html?finnkode=191018891,Barlindveien 1  3360 Geithus,2.76,128.00,01:53:21,01:12:27,86.27,01:42:25,01:11:40,79.24
190963924,https://www.finn.no/realestate/homes/ad.html?finnkode=190963924,Didriksborgveien 33  1960 Løken,3.18,228.00,02:03:35,00:51:52,54.14,01:59:15,00:59:37,59.12
188012935,https://www.finn.no/realestate/homes/ad.html?finnkode=188012935,Runden 33  2740 Roa,3.07,178.00,01:37:10,00:53:54,55.78,01:21:22,01:00:40,57.96
190894397,https://www.finn.no/realestate/homes/ad.html?finnkode=190894397,Svingen 32  1860 Trøgstad,2.94,228.00,01:25:09,00:59:47,62.52,01:40:49,01:01:58,70.36
190846838,https://www.finn.no/realestate/homes/ad.html?finnkode=190846838,Rypeveien 3G  3050 Mjøndalen,3.19,128.00,01:39:08,00:53:06,64.64,01:26:02,00:52:19,57.60
190687844,https://www.finn.no/realestate/homes/ad.html?finnkode=190687844,Klebersteinsvegen 121  3520 Jevnaker,3.18,120.00,00:00:00,01:13:01,74.38,00:00:00,01:15:02,71.87
190321017,https://www.finn.no/realestate/homes/ad.html?finnkode=190321017,Kvernhusvegen 25  2743 Harestua,2.05,104.00,01:34:39,00:44:07,44.96,01:17:51,00:50:53,47.14
189886530,https://www.finn.no/realestate/homes/ad.html?finnkode=189886530,Tandbergåsen 44 E  3070 Sande i Vestfold,3.12,114.00,01:38:31,00:51:33,67.00,01:27:35,00:50:46,59.96
190175717,https://www.finn.no/realestate/homes/ad.html?finnkode=190175717,Slåttebakken 3  3303 Hokksund,3.28,125.00,01:27:37,00:57:13,70.58,01:14:31,00:56:26,63.55
155134070,https://www.finn.no/realestate/homes/ad.html?finnkode=155134070,Bårudveien 21  3340 Åmot,2.67,135.00,01:52:07,01:10:54,83.96,01:41:11,01:10:08,76.92
189968303,https://www.finn.no/realestate/homes/ad.html?finnkode=189968303,Vestre Haugen 14  1054 Oslo,3.40,98.00,00:26:26,00:09:32,8.78,00:24:59,00:18:57,10.98
189172858,https://www.finn.no/realestate/homes/ad.html?finnkode=189172858,Setersbergveien 10  3340 Åmot,3.59,127.00,00:00:00,00:00:00,0.00,00:00:00,00:00:00,0.00
189530179,https://www.finn.no/realestate/homes/ad.html?finnkode=189530179,BØNSNESVEIEN 197  3530 Røyse,3.18,105.00,00:00:00,00:00:00,0.00,00:00:00,00:00:00,0.00
189537781,https://www.finn.no/realestate/homes/ad.html?finnkode=189537781,Stålfjæra 3  3340 Åmot,2.56,163.00,01:49:01,01:09:48,83.33,01:38:05,01:09:02,76.30
188722727,https://www.finn.no/realestate/homes/ad.html?finnkode=188722727,Sandumveien 254  1960 Løken,2.82,317.00,00:00:00,00:00:00,0.00,00:00:00,00:00:00,0.00
188461831,https://www.finn.no/realestate/homes/ad.html?finnkode=188461831,Ulvingsrudveien 7  1970 Hemnes,2.42,132.00,02:02:50,00:50:07,54.20,01:58:30,00:57:53,59.17
181028212,https://www.finn.no/realestate/homes/ad.html?finnkode=181028212,Petterstien 6 B  1930 Aurskog,3.58,107.00,00:55:53,00:40:50,44.45,01:06:33,00:48:36,49.42
187993362,https://www.finn.no/realestate/homes/ad.html?finnkode=187993362,Oslolinna 432  2750 Gran,2.56,189.00,00:00:00,00:55:25,59.36,00:00:00,01:02:11,61.54
